date,nb_objets,saison
2017-07-28 00:00:00+00:00,327,ete
2017-07-29 00:00:00+00:00,252,ete
2017-07-30 00:00:00+00:00,146,ete
2017-07-31 00:00:00+00:00,454,ete
2017-08-01 00:00:00+00:00,312,ete
2017-08-02 00:00:00+00:00,382,ete
2017-08-03 00:00:00+00:00,238,ete
2017-08-04 00:00:00+00:00,294,ete
2017-08-05 00:00:00+00:00,202,ete
2017-08-06 00:00:00+00:00,168,ete
2017-08-07 00:00:00+00:00,362,ete
2017-08-08 00:00:00+00:00,324,ete
2017-08-09 00:00:00+00:00,286,ete
2017-08-10 00:00:00+00:00,254,ete
2017-08-11 00:00:00+00:00,286,ete
2017-08-12 00:00:00+00:00,184,ete
2017-08-13 00:00:00+00:00,148,ete
2017-08-14 00:00:00+00:00,393,ete
2017-08-15 00:00:00+00:00,197,ete
2017-08-16 00:00:00+00:00,396,ete
2017-08-17 00:00:00+00:00,304,ete
2017-08-18 00:00:00+00:00,291,ete
2017-08-19 00:00:00+00:00,217,ete
2017-08-20 00:00:00+00:00,135,ete
2017-08-21 00:00:00+00:00,393,ete
2017-08-22 00:00:00+00:00,329,ete
2017-08-23 00:00:00+00:00,300,ete
2017-08-24 00:00:00+00:00,331,ete
2017-08-25 00:00:00+00:00,287,ete
2017-08-26 00:00:00+00:00,207,ete
2017-08-27 00:00:00+00:00,138,ete
2017-08-28 00:00:00+00:00,507,ete
2017-08-29 00:00:00+00:00,281,ete
2017-08-30 00:00:00+00:00,266,ete
2017-08-31 00:00:00+00:00,280,ete
2017-09-01 00:00:00+00:00,257,automne
2017-09-02 00:00:00+00:00,144,automne
2017-09-03 00:00:00+00:00,152,automne
2017-09-04 00:00:00+00:00,392,automne
2017-09-05 00:00:00+00:00,272,automne
2017-09-06 00:00:00+00:00,338,automne
2017-09-07 00:00:00+00:00,271,automne
2017-09-08 00:00:00+00:00,322,automne
2017-09-09 00:00:00+00:00,166,automne
