,uic_code,code_gare,rg_libelle,alias_libelle_noncontraint,commune_libellemin,latitude_entreeprincipale_wgs84,longitude_entreeprincipale_wgs84
2695,0087415166,01842,GARES C HAUTE NORMANDIE,Saint-Victor-l'Abbaye,Saint-Victor-l'Abbaye,49.6770346,1.1097122
2696,0087592683,01169,GARES C LIMOUSIN,Saint-Victurnien,Saint-Victurnien,45.8765887,1.0095737
2697,0087734715,00421,GARES C AUVERGNE,Saint-Vincent le Château,Saint-Vincent,45.1488794,3.9186273
2698,0087673277,00864,GARES B AQUITAINE,Saint-Vincent-de-Tyrosse,Saint-Vincent-de-Tyrosse,43.657736,-1.306493
2699,0087718320,00614,GARES B FRANCHE COMTE,Saint-Vit,Saint-Vit,47.183507,5.809057
2700,0087592824,01161,GARES C LIMOUSIN,Saint-Yrieix-la-Perche,Saint-Yrieix-la-Perche,45.5192516,1.2053608
2701,0087476648,01666,GARES C BRETAGNE,Sainte-Anne,Pluneret,47.6785805,-2.96048
2702,0087586479,01214,GARES C AQUITAINE,Sainte-Bazeille,Sainte-Bazeille,44.5326935,0.0931269
2703,0087775239,00103,GARES C LANGUEDOC ROUSSILLON,Sainte-Cécile-d'Andorge,Sainte-Cécile-d'Andorge,44.2554362,3.9758497
2704,0087715151,00637,GARES C FRANCHE COMTE,Sainte-Colombe,Sainte-Colombe,46.879207,6.2659748
2705,0087116178,03038,GARES B IDF LIGNE P,Sainte-Colombe Septveilles,Sainte-Colombe,48.52959,3.25602
2706,0087491282,01506,GARES C BORDEAUX METRO,Sainte-Eulalie - Carbon-Blanc,Sainte-Eulalie,44.8978327,-0.4939737
2707,0087584193,01242,GARES B AQUITAINE,Sainte-Foy-la-Grande,Sainte-Foy-la-Grande,44.836886,0.221519
2708,0087444604,01795,GARES C BASSE NORMANDIE,Sainte-Gauburge,Sainte-Gauburge-Sainte-Colombe,48.7172632,0.4281082
2709,0087545210,01465,GARES B IDF LIGNE C,Sainte-Geneviève-des-Bois,Sainte-Geneviève-des-Bois,48.653245,2.313161
2710,0087784850,00009,GARES C LANGUEDOC ROUSSILLON,Sainte-Léocadie,Sainte-Léocadie,42.4411844,2.0104348
2711,0087597054,01088,GARES C CENTRE,Sainte-Lizaigne,Sainte-Lizaigne,47.002251,2.0298004
2712,0087287193,02377,GARES C NORD PAS DE CALAIS,Sainte-Marguerite,Comines,50.7403764,3.0092045
2713,0087751842,00276,GARES C PROV ALPES,Sainte-Marthe en Provence,Marseille,43.3392414,5.390412
2714,0087575050,01364,GARES C CENTRE,Sainte-Maure - Noyant,Noyant-de-Touraine,47.1112361,0.5769439
2715,0087174870,02841,GARES C CHAMPAGNE ARDENNE,Sainte-Menehould,Sainte-Menehould,49.0899635,4.9037635
2716,0087481226,01622,GARES B PAYS DE LA LOIRE,Sainte-Pazanne,Sainte-Pazanne,47.1055419,-1.8138744
2717,0087491001,01525,GARES B POITOU CHARENTES,Saintes,Saintes,45.74874,-0.61790
2718,0087543165,01480,GARES B CENTRE,Salbris,Salbris,47.42522,2.04778
2719,0087618710,00935,GARES C MIDI PYRENEES,Saléchan - Siradan,Saléchan,42.9633091,0.6312526
2720,0087775551,00089,GARES C LANGUEDOC ROUSSILLON,Salindres,Uchaud,,
2721,0087746438,00344,GARES B ALPES,Sallanches - Combloux - Megève,Sallanches,45.935702,6.636431
2722,0087345215,02131,GARES C NORD PAS DE CALAIS,Sallaumines,Sallaumines,50.4223266,2.8556769
2723,0087613877,00979,GARES C MIDI PYRENEES,Salles-Courbatiès,Salles-Courbatiès,44.4751593,2.0787662
2724,0087342451,02162,GARES C NORD PAS DE CALAIS,Salomé,Salomé,50.5414529,2.8366078
2725,0087753764,00252,GARES B PROV ALPES,Salon-de-Provence,Salon-de-Provence,43.639061,5.088569
2726,0087784157,00040,GARES C LANGUEDOC ROUSSILLON,Salses-le-Château,Salses-le-Château,42.8356091,2.9174466
2727,0087345470,03180,GARES C NORD PAS DE CALAIS,Sancourt,,,
2728,0087276188,02501,GARES B IDF LIGNE J,Sannois,Sannois,48.97016,2.26377
2729,0087192229,02713,GARES C LORRAINE,Sanry-sur-Nied,Sanry-sur-Nied,49.0445991,6.3399775
2730,0087713594,00654,GARES C BOURGOGNE,Santenay les Bains,Santenay,46.9106752,4.7017523
2731,0087286401,02408,GARES C NORD PAS DE CALAIS,Santes,Santes,50.5920123,2.961977
2732,0087381186,02086,Gares C Ile-de-France,Santeuil - Le Perchay,Santeuil,49.12416,1.94893
2733,0087718502,00606,GARES C FRANCHE COMTE,Saône,Saône,47.2097669,6.1013089
2734,0087276386,02483,GARES B IDF LIGNE H,Sarcelles - Saint-Brice,Saint-Brice-sous-Forêt,48.99529,2.36867
2735,0087595827,01093,GARES C AQUITAINE,Sarlat-la-Canéda,Sarlat-la-Canéda,44.8770213,1.220328
2736,0087734152,00447,GARES C AUVERGNE,Sarliève - Cournon,Cournon-d'Auvergne,45.7387697,3.1681196
2737,0087193714,02681,GARES C LORRAINE,Sarralbe,Sarralbe,49.0009161,7.0367713
2738,0087672766,03211,GARES C AQUITAINE,Sarrance,Sarrance,43.0496,-0.599962
2739,0087215459,02570,GARES B ALSACE,Sarre-Union,Sarre-Union,48.9360172,7.0850443
2740,0087215012,02575,GARES B ALSACE,Sarrebourg,Sarrebourg,48.73808,7.05285
